"","Response_ID","Location_Latitude","Location_Longitude","Age","Gender","Origin","Region","Speaker","Language","Order","Talker","fem","nice","conf","class","urban","origin","edu","age","eth"
"1","R_10IerLgLAWlz8qg",-2,-77.5,23,"male","loja 4a;os","Loja","las dos cosas","ingles, 4 a;os","FL_28","Daniela",6,6,6,5,5,2,3,3,"mestiza"
"2","R_10IerLgLAWlz8qg",-2,-77.5,23,"male","loja 4a;os","Loja","las dos cosas","ingles, 4 a;os","FL_28","Diego",6,6,6,6,6,3,4,3,"mestiza"
"3","R_10IerLgLAWlz8qg",-2,-77.5,23,"male","loja 4a;os","Loja","las dos cosas","ingles, 4 a;os","FL_28","Isabel",4,4,4,4,3,2,2,3,"mestizo"
"4","R_10IerLgLAWlz8qg",-2,-77.5,23,"male","loja 4a;os","Loja","las dos cosas","ingles, 4 a;os","FL_28","Andres",6,5,6,6,6,1,3,3,"mestiza"
"5","R_10IerLgLAWlz8qg",-2,-77.5,23,"male","loja 4a;os","Loja","las dos cosas","ingles, 4 a;os","FL_28","Sofia",4,4,4,4,3,3,2,4,"mestiza "
"6","R_10IerLgLAWlz8qg",-2,-77.5,23,"male","loja 4a;os","Loja","las dos cosas","ingles, 4 a;os","FL_28","Pablo",5,5,6,5,5,1,4,4,"mestizo"
"7","R_10IerLgLAWlz8qg",-2,-77.5,23,"male","loja 4a;os","Loja","las dos cosas","ingles, 4 a;os","FL_28","Carlos",5,5,6,5,5,3,3,3,"mestizo"
"8","R_10IerLgLAWlz8qg",-2,-77.5,23,"male","loja 4a;os","Loja","las dos cosas","ingles, 4 a;os","FL_28","Andrea",4,4,4,4,3,2,2,2,"mestizo"
"9","R_129Gf52nl2jhQPT",,,32,"female","Guayaquil 32 aí±os","Coast","Parlantes","Francí©s 1 aí±o, Inglí©s 2 aí±os ","FL_28","Daniela",,,,,,,,,""
"10","R_129Gf52nl2jhQPT",,,32,"female","Guayaquil 32 aí±os","Coast","Parlantes","Francí©s 1 aí±o, Inglí©s 2 aí±os ","FL_28","Diego",,,,,,,,,""
"11","R_129Gf52nl2jhQPT",,,32,"female","Guayaquil 32 aí±os","Coast","Parlantes","Francí©s 1 aí±o, Inglí©s 2 aí±os ","FL_28","Isabel",,,,,,,,,""
"12","R_129Gf52nl2jhQPT",,,32,"female","Guayaquil 32 aí±os","Coast","Parlantes","Francí©s 1 aí±o, Inglí©s 2 aí±os ","FL_28","Andres",,,,,,,,,""
"13","R_129Gf52nl2jhQPT",,,32,"female","Guayaquil 32 aí±os","Coast","Parlantes","Francí©s 1 aí±o, Inglí©s 2 aí±os ","FL_28","Sofia",,,,,,,,,""
"14","R_129Gf52nl2jhQPT",,,32,"female","Guayaquil 32 aí±os","Coast","Parlantes","Francí©s 1 aí±o, Inglí©s 2 aí±os ","FL_28","Pablo",4,5,4,4,4,1,2,4,"Mestizo"
"15","R_129Gf52nl2jhQPT",,,32,"female","Guayaquil 32 aí±os","Coast","Parlantes","Francí©s 1 aí±o, Inglí©s 2 aí±os ","FL_28","Carlos",,,,,,,,,""
"16","R_129Gf52nl2jhQPT",,,32,"female","Guayaquil 32 aí±os","Coast","Parlantes","Francí©s 1 aí±o, Inglí©s 2 aí±os ","FL_28","Andrea",,,,,,,,,""
"17","R_12DPana46N2x2Ri",-0.216705322,-78.5,25,"male","Quito toda la vida ","Quito","Mo","Inglí©s un aí±o ","FL_21","Daniela",4,5,4,4,4,4,2,2,"Negra "
"18","R_12DPana46N2x2Ri",-0.216705322,-78.5,25,"male","Quito toda la vida ","Quito","Mo","Inglí©s un aí±o ","FL_21","Diego",5,5,4,5,4,2,2,4,"Mestizo "
"19","R_12DPana46N2x2Ri",-0.216705322,-78.5,25,"male","Quito toda la vida ","Quito","Mo","Inglí©s un aí±o ","FL_21","Isabel",5,5,4,4,4,3,2,4,"Mestizo "
"20","R_12DPana46N2x2Ri",-0.216705322,-78.5,25,"male","Quito toda la vida ","Quito","Mo","Inglí©s un aí±o ","FL_21","Andres",5,4,5,4,5,2,3,2,"Mestizo "
"21","R_12DPana46N2x2Ri",-0.216705322,-78.5,25,"male","Quito toda la vida ","Quito","Mo","Inglí©s un aí±o ","FL_21","Sofia",5,5,4,4,4,4,2,3,"Mestizo "
"22","R_12DPana46N2x2Ri",-0.216705322,-78.5,25,"male","Quito toda la vida ","Quito","Mo","Inglí©s un aí±o ","FL_21","Pablo",5,4,4,4,4,3,2,3,"Mestizo "
"23","R_12DPana46N2x2Ri",-0.216705322,-78.5,25,"male","Quito toda la vida ","Quito","Mo","Inglí©s un aí±o ","FL_21","Carlos",4,4,5,4,4,3,3,3,"Mestizo "
"24","R_12DPana46N2x2Ri",-0.216705322,-78.5,25,"male","Quito toda la vida ","Quito","Mo","Inglí©s un aí±o ","FL_21","Andrea",5,5,4,5,5,3,2,3,"Mestiza"
"25","R_12tfucN8WYlX7v8",-2.166702271,-79.90000153,20,"female","2: en uno por 18 aí±os y el otro por 2 aí±os","Coast","Si","Inglí©s ","FL_28","Daniela",2,6,4,2,2,1,1,3,"Indí_gena"
"26","R_12tfucN8WYlX7v8",-2.166702271,-79.90000153,20,"female","2: en uno por 18 aí±os y el otro por 2 aí±os","Coast","Si","Inglí©s ","FL_28","Diego",6,4,6,3,5,4,3,3,"No se"
"27","R_12tfucN8WYlX7v8",-2.166702271,-79.90000153,20,"female","2: en uno por 18 aí±os y el otro por 2 aí±os","Coast","Si","Inglí©s ","FL_28","Isabel",6,5,5,3,3,4,3,4,"Ninguno "
"28","R_12tfucN8WYlX7v8",-2.166702271,-79.90000153,20,"female","2: en uno por 18 aí±os y el otro por 2 aí±os","Coast","Si","Inglí©s ","FL_28","Andres",3,3,3,3,3,1,4,3,"Ninguno "
"29","R_12tfucN8WYlX7v8",-2.166702271,-79.90000153,20,"female","2: en uno por 18 aí±os y el otro por 2 aí±os","Coast","Si","Inglí©s ","FL_28","Sofia",3,1,1,4,1,4,5,3,"Ninguno"
"30","R_12tfucN8WYlX7v8",-2.166702271,-79.90000153,20,"female","2: en uno por 18 aí±os y el otro por 2 aí±os","Coast","Si","Inglí©s ","FL_28","Pablo",2,3,1,1,1,2,4,3,"Ninguna "
"31","R_12tfucN8WYlX7v8",-2.166702271,-79.90000153,20,"female","2: en uno por 18 aí±os y el otro por 2 aí±os","Coast","Si","Inglí©s ","FL_28","Carlos",6,4,5,3,2,3,3,2,"Ninguno "
"32","R_12tfucN8WYlX7v8",-2.166702271,-79.90000153,20,"female","2: en uno por 18 aí±os y el otro por 2 aí±os","Coast","Si","Inglí©s ","FL_28","Andrea",3,2,2,2,3,1,3,2,"Ninguno"
"33","R_1BxKdC3M06hTyxP",-2.166702271,-79.90000153,24,"female","Guayaquil, durante 24 aí±os","Coast","Parlantes","Ingles bíçsico, 6 aí±os de estudo","FL_28","Daniela",5,5,5,5,5,4,2,3,"Serrana"
