Start Date,End Date,IP Address,Progress,Duration (in seconds),Finished,Response ID,Location Latitude,Location Longitude,Age,Gender,Origin,Region,Speaker,Language,Order,Daniela fem,Daniela nice,Daniela conf,Daniela class,Daniela urban,Daniela origin,Daniela edu,Daniela age,Daniela eth,Diego fem,Diego nice,Diego conf,Diego class,Diego urban,Diego origin,Diego edu,Diego age,Diego eth,Isabel fem,Isabel nice,Isabel conf,Isabel class,Isabel urban,Isabel origin,Isabel edu,Isabel age,Isabel eth,Andres fem,Andres nice,Andres conf,Andres class,Andres urban,Andres origin,Andres edu,Andres age,Andres eth,Sofia fem,Sofia nice,Sofia conf,Sofia class,Sofia urban,Sofia origin,Sofia edu,Sofia age,Sofia eth,Pablo fem,Pablo nice,Pablo conf,Pablo class,Pablo urban,Pablo origin,Pablo edu,Pablo age,Pablo eth,Carlos fem,Carlos nice,Carlos conf,Carlos class,Carlos urban,Carlos origin,Carlos edu,Carlos age,Carlos eth,Andrea fem,Andrea nice,Andrea conf,Andrea class,Andrea urban,Andrea origin,Andrea edu,Andrea age,Andrea eth
7/19/2017 8:27,7/19/2017 8:52,200.0.29.155,100,1484,1,R_10IerLgLAWlz8qg,-2,-77.5,23,male,loja 4a;os,Loja,las dos cosas,"ingles, 4 a;os",FL_28,6,6,6,5,5,2,3,3,mestiza,6,6,6,6,6,3,4,3,mestiza,4,4,4,4,3,2,2,3,mestizo,6,5,6,6,6,1,3,3,mestiza,4,4,4,4,3,3,2,4,mestiza ,5,5,6,5,5,1,4,4,mestizo,5,5,6,5,5,3,3,3,mestizo,4,4,4,4,3,2,2,2,mestizo
7/4/2017 17:58,7/4/2017 18:07,181.199.100.35,62,516,0,R_129Gf52nl2jhQPT,,,32,female,Guayaquil 32 aí±os,Coast,Parlantes,"Francí©s 1 aí±o, Inglí©s 2 aí±os ",FL_28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,4,4,4,1,2,4,Mestizo,,,,,,,,,,,,,,,,,,
7/16/2017 16:35,7/16/2017 16:51,200.7.247.159,100,947,1,R_12DPana46N2x2Ri,-0.216705322,-78.5,25,male,Quito toda la vida ,Quito,Mo,Inglí©s un aí±o ,FL_21,4,5,4,4,4,4,2,2,Negra ,5,5,4,5,4,2,2,4,Mestizo ,5,5,4,4,4,3,2,4,Mestizo ,5,4,5,4,5,2,3,2,Mestizo ,5,5,4,4,4,4,2,3,Mestizo ,5,4,4,4,4,3,2,3,Mestizo ,4,4,5,4,4,3,3,3,Mestizo ,5,5,4,5,5,3,2,3,Mestiza
7/5/2017 21:18,7/5/2017 21:32,186.66.31.76,100,866,1,R_12tfucN8WYlX7v8,-2.166702271,-79.90000153,20,female,2: en uno por 18 aí±os y el otro por 2 aí±os,Coast,Si,Inglí©s ,FL_28,2,6,4,2,2,1,1,3,Indí_gena,6,4,6,3,5,4,3,3,No se,6,5,5,3,3,4,3,4,Ninguno ,3,3,3,3,3,1,4,3,Ninguno ,3,1,1,4,1,4,5,3,Ninguno,2,3,1,1,1,2,4,3,Ninguna ,6,4,5,3,2,3,3,2,Ninguno ,3,2,2,2,3,1,3,2,Ninguno
7/4/2017 14:03,7/4/2017 14:25,181.113.139.126,100,1316,1,R_1BxKdC3M06hTyxP,-2.166702271,-79.90000153,24,female,"Guayaquil, durante 24 aí±os",Coast,Parlantes,"Ingles bíçsico, 6 aí±os de estudo",FL_28,5,5,5,5,5,4,2,3,Serrana,6,5,5,4,5,1,2,5,Serrano,6,5,5,4,4,2,2,3,Serrana,6,5,5,4,4,4,3,2,Serrano,6,5,6,4,5,2,2,3,Serrano,6,5,4,5,6,1,2,4,Serrano,5,6,5,5,6,1,3,2,Serrano,4,5,6,4,3,1,2,2,Serrana
7/21/2017 18:54,7/21/2017 19:21,191.100.73.50,100,1650,1,R_1CDyfc7xZg8QEqT,-2.883300781,-78.98329926,33,male,En la ciudad de Cuenca todos mis 33 aí±os,Cuenca,No,"Inglí©s, lo he estudiando alrededor de 5 aí±os ",FL_21,2,3,5,4,5,1,3,2,mestizo,5,5,3,4,6,2,3,3,mestizo ,2,3,4,5,5,3,3,5,mestiza ,5,2,3,4,5,1,3,2,mestizo ,2,4,5,5,5,2,3,3,mestizo ,4,4,4,4,5,2,3,3,mestizo ,3,3,3,4,5,1,2,2,mestizo ,3,3,2,4,5,4,2,3,mestizo
7/18/2017 21:23,7/18/2017 21:44,190.111.85.14,100,1260,1,R_1CIuYRUlYqfS6uF,-4,-79.21669769,21,male,"Loja, 21 aí±os",Loja,no,"Inglí©s, desde los 5 aí±os",FL_28,6,6,6,6,6,3,3,3,No se ,6,6,6,6,6,2,3,3,No lo sí© ,6,6,6,6,6,2,3,4,No lo sí© ,6,6,6,6,6,2,3,3,No se ,5,5,4,5,4,1,3,2,No lo sí© ,4,3,3,3,3,4,3,3,No lo sí© ,6,6,6,4,3,4,3,3,No lo sí© ,6,5,4,4,4,4,3,3,No lo sí© 
7/17/2017 8:38,7/17/2017 9:33,200.0.29.171,96,3266,0,R_1dACoZvpCnXOc00,,,22,male,"Loja, toda la vida transcurrida",Loja,Si,"Ingles, en el colegio y universidad, seria unos 3 aí±os ",FL_28,4,4,4,4,4,3,3,2,Gvb,4,4,4,4,4,3,1,5,Xv,4,4,4,4,4,3,3,5,Gjc,,,,,,,,,,3,3,3,3,3,3,3,6,Udhs,2,3,3,3,3,3,1,5,Fwg,2,2,2,2,2,3,3,2,Gd,2,1,2,2,2,3,3,2,Gff
7/17/2017 11:30,7/20/2017 10:55,200.55.234.8,100,257148,1,R_1dGJMzXOL7QxFKJ,-2.883300781,-78.98329926,37,male,Cuenca - Ecuador por 37 aí±os,Cuenca,parlantes,"ingles nivel intermedio 6 aí±osfrances intermedio 1.5 aí±os",FL_28,5,5,5,3,3,3,2,2,no se,6,5,5,3,2,3,2,3,no se,6,5,5,3,2,4,2,2,no se,6,5,5,4,5,2,3,3,no se,6,4,3,2,2,2,2,4,no lo se,6,3,5,2,1,3,2,4,no lo se,6,4,5,4,5,3,3,3,no se,6,4,5,2,1,4,2,3,no lo se
7/4/2017 19:49,7/4/2017 20:09,190.155.127.199,100,1217,1,R_1dgVMP7KtDRuD4s,-2.166702271,-79.90000153,24,male,"Ibarra 19 aí±os, Quito 3, Guayaquí_l 2",Quito,si ,"Kechwa, Inglí©s",FL_28,4,4,4,3,3,3,3,3,mestiza,5,5,5,4,4,3,3,4,mestizo,5,5,5,4,4,1,3,5,mesriza,4,4,3,3,3,2,3,2,mestizo,5,5,5,5,5,1,3,5,mestiza,5,5,5,5,5,1,3,4,mestizo,5,3,4,4,4,2,3,2,mestizo ,5,5,4,3,2,4,2,3,indí_gena
7/19/2017 7:10,7/19/2017 7:30,200.0.29.171,100,1167,1,R_1E7oJR6HlkvYyr6,-2,-77.5,21,male,"Loja, 21 aí±os",Loja,audifonos,"ingles, 5 aí±os",FL_21,5,3,3,3,3,4,2,4,mestiza,6,3,5,4,6,2,3,4,mestiza,6,4,5,5,3,3,4,5,mestizo,6,4,5,6,6,3,3,2,mestizo,5,5,5,5,5,3,3,5,mestizo,5,4,5,6,6,2,4,3,mestizo,5,6,6,6,6,3,3,4,mestizos,4,3,3,3,2,3,2,4,mestiza
7/19/2017 7:06,7/19/2017 7:29,200.0.29.171,100,1396,1,R_1EgoyAi9dSUxuOq,-2,-77.5,21,male,"Zamora 13Loja  8 ",Loja,Si,Ninguna,FL_28,3,3,3,3,3,1,1,3,Mestizo,4,4,4,4,4,4,2,3, Mestizo,3,3,3,3,3,4,1,2,Indigena ,4,4,4,4,4,3,3,3,Mestizo,4,4,3,3,3,1,1,5,Indigena ,4,4,3,3,3,1,2,4,Mestizo,4,4,4,4,4,3,3,3,Mestizo,4,4,4,3,3,1,2,3,Mestizo
7/18/2017 14:14,7/18/2017 14:32,186.68.8.163,100,1074,1,R_1EinvF3Jv38dCTr,-4,-79.21669769,24,male,2 por mas de 3aí±os,Loja,si,Ingles basico,FL_21,6,6,3,4,3,3,3,3,mestiza,6,5,5,5,5,2,3,3,mestizo,4,6,4,3,2,3,1,3,mestiza,6,3,3,4,5,2,3,3,mestizo,3,5,3,3,3,2,2,4,mestiza,6,4,3,4,5,2,3,3,mestizo,6,1,3,5,5,3,3,2,mestizo,4,4,5,3,2,2,2,2,mestiza
7/19/2017 7:00,7/19/2017 7:30,200.0.29.172,100,1815,1,R_1eP3rgV6RoLGb69,-2,-77.5,23,female,"Selva Alegre 12 aí±os, Loja 11 aí±os",Quito,Audifonos,Castellano ,FL_28,6,5,6,4,4,2,3,3,Meztizo,6,5,6,6,6,1,3,3,Meztizo,6,5,6,4,4,3,3,4,Meztizo,6,5,6,4,4,3,3,3,Meztizo,6,5,6,4,6,1,3,4,Meztizo,6,5,6,5,5,4,3,3,Meztizo,6,5,5,5,5,3,3,3,Meztizo,6,5,6,5,1,2,2,3,Meztiza
7/18/2017 14:29,7/18/2017 15:09,181.211.126.10,100,2392,1,R_1eW8PhqiBETrokC,-2,-77.5,18,female,Loja por 18 aí±os,Loja,No,Ingles 3 aí±os,FL_28,6,6,6,2,2,3,2,4,Nose ,6,5,5,5,5,3,4,4,Nose ,5,5,5,5,5,3,3,6,Nose ,6,6,3,5,3,3,4,3,Nose ,6,5,5,5,6,3,2,5,Nose,6,6,6,5,6,3,4,4,Nose,5,4,3,2,4,3,3,3,Nose,4,6,6,3,6,3,2,4,Nose
7/22/2017 11:05,7/22/2017 11:18,191.100.64.230,100,749,1,R_1f9qP1WllUYt5xO,-2.883300781,-78.98329926,29,female,"Cuenca 26 aí±osguayaquil 2 aí±osquito 1 aí±o",Cuenca,parlante,Ninguna,FL_21,4,5,4,4,6,3,3,3,mestiza,5,4,5,4,5,2,2,3,mestiza,3,3,4,4,4,3,2,5,mestizo,4,2,6,5,6,2,3,2,mestizo,3,1,3,3,4,2,2,5,mestizo,6,4,5,4,5,3,3,5,mestixa,6,4,5,5,6,1,2,3,mestizo,3,1,4,2,3,3,2,3,mestiza
7/19/2017 7:01,7/19/2017 7:28,200.0.29.171,100,1617,1,R_1FJQVl1yPZnpIKe,-2,-77.5,23,female,"Lago Agrio durante 9 aí±os.Santa Rosa durante 14 aí±os.",Coast,Audíåfonos,Espaí±ol.,FL_21,5,5,5,4,5,3,3,3,Mestizo.,6,6,6,5,6,3,3,4,Mestizo,5,5,5,4,4,3,2,3,Mestizo,5,4,5,4,5,3,2,1,Mestizo,5,5,5,5,5,3,2,3,Mestizo,6,5,5,4,5,3,3,4,Mestizo,5,5,5,4,5,1,3,2,Mestizo,5,5,5,4,5,3,2,3,Mestizo
7/25/2017 23:35,7/26/2017 0:19,186.66.188.50,100,2601,1,R_1gb6t1UpSe4wtq7,-2.883300781,-78.98329926,39,male,Cuenca 39 aí±os,Cuenca,parlantes,tInggles 6aí±os,FL_21,6,2,2,2,2,1,2,2,mestizo,6,4,4,6,6,3,3,3,BLANCO,5,6,5,4,5,3,2,5,BLANCO,5,5,3,4,5,4,3,2,MESTIZO,6,6,6,5,5,3,2,5,BLANCA,3,3,5,6,6,1,4,3,BLANCA,4,3,3,4,6,2,3,3,MESTIZO,6,2,2,1,1,3,2,3,INDIGENA
7/19/2017 8:01,7/19/2017 8:44,200.0.29.155,100,2600,1,R_1giOZslQCjEZHzm,-2,-77.5,22,female,"Madrid: 10 aí±osZamora: 10 aí±osLoja: 2 aí±os",Loja,Si,InglíÂs: 3 aí±os,FL_28,4,4,4,4,4,4,3,2,Mestizo,6,5,5,5,5,3,3,3,Mestizo,4,4,4,4,4,3,3,3,Mestizo,5,5,5,5,5,4,3,2,Mestizo,4,4,4,4,4,1,3,2,Mestizo,6,6,6,5,6,3,4,3,Mestizo,5,5,5,5,5,3,3,2,Mestizo,3,3,3,3,3,1,3,2,Mestizo
7/19/2017 8:31,7/19/2017 8:51,200.0.29.155,100,1217,1,R_1GP1nz7DbTdRkeQ,-2,-77.5,21,female,"Provincia de Loja durante 3 aí±os Canton de la Provincia de Loja desde la nií±ez",Loja,si,Actualmente estoy estudiando el idioma Ingles durante dos aí±os y medio ,FL_28,5,5,5,2,2,4,1,4,mestizo,5,5,5,4,4,2,2,3,mestizo,5,5,5,3,2,2,1,4,mestizo o ind[igena,5,5,4,3,3,4,2,1,mestizo,5,5,5,2,2,4,1,4,mestizo,5,5,5,4,5,3,3,3,mestizo,5,4,4,4,4,3,2,1,mestizo ,5,5,5,3,2,4,1,4,mestizo 
7/6/2017 20:44,7/6/2017 21:06,190.154.2.141,100,1284,1,R_1H6LrNRmliS66BO,-2.166702271,-79.90000153,20,male,"Portoviejo: 18 aí±os aproximadamenteGuayquil: casi 2 aí±os",Coast,audifonos,ingles: 10 aí±os,FL_28,5,4,6,3,3,1,2,3,mestiza,5,5,6,4,5,3,3,4,mestizo,5,5,6,5,6,3,4,5,mestiza,5,6,6,6,6,1,4,4,mestizo,5,4,5,5,5,1,3,4,mestiza,5,5,4,4,4,2,3,3,mestizo,5,4,5,5,6,3,4,4,mestizo,5,4,6,3,3,1,2,3,mestiza
7/19/2017 8:28,7/19/2017 8:53,200.0.29.155,100,1462,1,R_1HbdJeRzjP7XF0R,-2,-77.5,21,female,"Loja 21 a;os",Loja,Si,Ingles 4,FL_21,5,4,4,3,3,2,3,2,Mestizo ,6,1,6,5,6,3,4,3,Mestizo,6,6,6,6,6,1,5,4,Mestizo,6,6,6,6,5,2,4,3,Mestizo ,6,6,6,5,5,1,5,4,Mestizo ,6,6,6,6,6,3,4,3,Mestizo ,6,6,6,5,5,1,4,2,Mestizo ,6,6,4,3,3,2,4,3,Mestizo 
