Progress,RespondentID,Age,Gender,Region,Languages_excluding_Spanish,Num_Additional_Languages,trill,Speaker,fem,nice,conf,class,urban,edu,age,predictedOrigin
100,1,23,male,Loja,English,1,1,F2,6,6,6,5,5,3,3,Cuenca
100,1,23,male,Loja,English,1,0,M2,6,6,6,6,6,4,3,Loja
100,1,23,male,Loja,English,1,1,F1,4,4,4,4,3,2,3,Cuenca
100,1,23,male,Loja,English,1,0,M1,6,5,6,6,6,3,3,Quito
100,1,23,male,Loja,English,1,0,F1,4,4,4,4,3,2,4,Loja
100,1,23,male,Loja,English,1,1,M2,5,5,6,5,5,4,4,Quito
100,1,23,male,Loja,English,1,1,M1,5,5,6,5,5,3,3,Loja
100,1,23,male,Loja,English,1,0,F2,4,4,4,4,3,2,2,Cuenca
100,2,25,male,Quito,English,1,1,F2,4,5,4,4,4,2,2,Other
100,2,25,male,Quito,English,1,0,M2,5,5,4,5,4,2,4,Cuenca
100,2,25,male,Quito,English,1,1,F1,5,5,4,4,4,2,4,Loja
100,2,25,male,Quito,English,1,0,M1,5,4,5,4,5,3,2,Cuenca
100,2,25,male,Quito,English,1,0,F1,5,5,4,4,4,2,3,Other
100,2,25,male,Quito,English,1,1,M2,5,4,4,4,4,2,3,Loja
100,2,25,male,Quito,English,1,1,M1,4,4,5,4,4,3,3,Loja
100,2,25,male,Quito,English,1,0,F2,5,5,4,5,5,2,3,Loja
100,3,20,female,Coast,English,1,1,F2,2,6,4,2,2,1,3,Quito
100,3,20,female,Coast,English,1,0,M2,6,4,6,3,5,3,3,Other
100,3,20,female,Coast,English,1,1,F1,6,5,5,3,3,3,4,Other
100,3,20,female,Coast,English,1,0,M1,3,3,3,3,3,4,3,Quito
100,3,20,female,Coast,English,1,0,F1,3,1,1,4,1,5,3,Other
100,3,20,female,Coast,English,1,1,M2,2,3,1,1,1,4,3,Cuenca
100,3,20,female,Coast,English,1,1,M1,6,4,5,3,2,3,2,Loja
