"Gender","trill","nice","conf","status","age","predictedOrigin","masculinity","speakerID","speaker_gender"
"male",1,6,6,0.765734801272264,3,"Cuenca",1,"F2","female"
"male",0,6,6,1.76831226788453,3,"Loja",1,"M2","male"
"male",1,4,4,-0.492425776483655,3,"Cuenca",3,"F1","female"
"male",0,5,6,1.33664526067322,3,"Quito",1,"M1","male"
"male",0,4,4,-0.492425776483655,4,"Loja",3,"F1","female"
"male",1,5,6,1.19740180848357,4,"Quito",2,"M2","male"
"male",1,5,6,0.765734801272264,3,"Loja",2,"M1","male"
"male",0,4,4,-0.492425776483655,2,"Cuenca",3,"F2","female"
"male",1,5,4,-0.23684266534,2,"Other",3,"F2","female"
"male",0,5,4,0.0784846829173015,4,"Cuenca",2,"M2","male"
"male",1,5,4,-0.23684266534,4,"Loja",2,"F1","female"
"male",0,4,5,0.450407453014963,2,"Cuenca",2,"M1","male"
"male",0,5,4,-0.23684266534,3,"Other",2,"F1","female"
"male",1,4,4,-0.23684266534,3,"Loja",2,"M2","male"
"male",1,4,5,0.194824341871308,3,"Loja",3,"M1","male"
"male",0,5,4,0.334067794060956,3,"Loja",2,"F2","female"
"female",1,6,4,-1.81033059135322,3,"Quito",5,"F2","female"
"female",0,4,6,0.135080104757661,3,"Other",1,"M2","male"
"female",1,5,5,-0.376086117529648,4,"Other",1,"F1","female"
"female",0,3,3,0.0555808896816599,3,"Quito",4,"M1","male"
"female",0,1,1,0.29140902286296,3,"Other",4,"F1","female"
"female",1,3,1,-1.08624002912025,3,"Cuenca",5,"M2","male"
"female",1,4,5,-0.631669228673303,2,"Loja",1,"M1","male"
"female",0,2,2,-0.69141346578695,2,"Quito",4,"F2","female"
"female",1,5,5,0.334067794060956,3,"Other",2,"F2","female"
"female",0,5,5,0.0187404458036547,5,"Quito",1,"M2","male"
"female",1,5,5,-0.23684266534,3,"Cuenca",1,"F1","female"
"female",0,5,5,0.194824341871308,2,"Other",1,"M1","male"
"female",0,5,6,0.0187404458036547,3,"Cuenca",1,"F1","female"
"female",1,5,4,0.589650905204611,4,"Quito",1,"M2","male"
"female",1,6,5,1.02131791241592,2,"Quito",2,"M1","male"
"female",0,5,6,-0.492425776483655,2,"Quito",3,"F2","female"
"male",1,3,5,0.450407453014963,2,"Quito",5,"F2","female"
"male",0,5,3,0.705990564158617,3,"Cuenca",2,"M2","male"
"male",1,3,4,0.765734801272264,5,"Loja",5,"F1","female"
"male",0,2,3,0.450407453014963,2,"Quito",2,"M1","male"
"male",0,4,5,0.765734801272264,3,"Cuenca",5,"F1","female"
"male",1,4,4,0.450407453014963,3,"Cuenca",3,"M2","male"
"male",1,3,3,0.0187404458036547,2,"Quito",4,"M1","male"
"male",0,3,2,0.0187404458036547,3,"Other",4,"F2","female"
